IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
63035190;Винт M5x25-10.9-A2E (IN6RD/T25);6.303-519.0;0;;;;28.00;RUB
45511910;Головка цилиндра для замены (040) RV;4.551-191.0;0;;;;3305.00;RUB
40670710;Корпус электродвигателя набор заменитель;4.067-071.0;0;;;;2426.00;RUB
66485860;Кабель мотор коричневый AWG18x270mm;6.648-586.0;0;;;;106.00;RUB
66485870;Кабель мотор красный AWG18x225mm;6.648-587.0;0;;;;106.00;RUB
66496060;Кабель с конденсатор 470nF (Motor h45);6.649-606.0;0;;;;161.00;RUB
41006620;Комплект запасных частей планетарная шес;4.100-662.0;55;10;7;7;697.00;RUB
41006210;Мотор только для замены;4.100-621.0;0;;;;0.00;RUB
41006180;Мотор только для замены;4.100-618.0;0;;;;0.00;RUB
21000230;Специальный инструмент мотора K2;2.100-023.0;265;95;95;50;7744.00;RUB
53324340;Винтовая пружина;5.332-434.0;0;;;;583.00;RUB
63699780;Линейчатая щетка комплектный;6.369-978.0;0;;;;0.00;RUB
28830000;Набор запасных частей pотор комплектный;2.883-000.0;0;;;;2053.00;RUB
41202280;"Косая шайба 4,02 (37); 6°12'";4.120-228.0;158;120;110;100;3750.00;RUB
47643020;FJ 3 пенная форсунка приложение к прибор;4.764-302.0;0;;;;0.00;RUB
47643170;Вставка в грязевую фрезу 026 St;4.764-317.0;147;41;41;450;2835.00;RUB
50676173;ПАРА КОРПУСОВ только для замены;5.067-617.3;0;;;;1270.00;RUB
47600390;Струйная трубка VPS Entry 026 K;4.760-039.0;143;445;42;42;2681.00;RUB
45205070;Шасси комплектный заменитель K3 (QC);4.520-507.0;0;;;;2101.00;RUB
63965140;Шланг высокого давления 12MPa/6 40°C QCS;6.396-514.0;469;230;60;300;2533.00;RUB
47758300;Разбрызгиватель;4.775-830.0;338;180;40;450;2776.00;RUB
90021740;Elastic bend spare parts;9.002-174.0;0;;;;963.00;RUB
90862200;Винт ST.4x17 P2R;9.086-220.0;5;20;9;9;20.00;RUB
90481560;Пеноматериал корпус впереди;9.048-156.0;0;;;;554.00;RUB
90481580;Пеноматериал мотор;9.048-158.0;0;;;;467.00;RUB
90481570;Пеноматериал насос позади;9.048-157.0;0;;;;235.00;RUB
90481530;Резиновый профиль мотор;9.048-153.0;0;;;;329.00;RUB
90481520;Резиновый профиль опора;9.048-152.0;0;;;;467.00;RUB
90481550;Резина отвод высокого давления;9.048-155.0;0;;;;347.00;RUB
97609550;О-Кольцо 12,0x2,0 EPDM 70;9.760-955.0;0;;;;38.00;RUB
90383810;Труба брызговик;9.038-381.0;0;;;;47.00;RUB
63963010;Шланг вд 14.5MPa/6 40°C;6.396-301.0;720;270;50;300;6463.00;RUB
90821170;Шланг высокого давления;9.082-117.0;118;640;19;19;1103.00;RUB
90393700;Штифт для рамки;9.039-370.0;5;22;3;3;34.00;RUB
28851050;Набор запасных частей форсунки 015;2.885-105.0;0;;;;955.00;RUB
28854860;Набор запасных частей тяговая разгрузка;2.885-486.0;0;;;;0.00;RUB
40670490;Комплект рамы двигателя L+R (K2.900);4.067-049.0;213;150;120;300;0.00;RUB
41006230;Мотор только для замены;4.100-623.0;0;;;;0.00;RUB
26439120;Набор шланг высокого давления и пистолет;2.643-912.0;1061;265;520;85;2638.00;RUB
63929660;Шланг высокого давления 12MPa/10 40АC QC;6.392-966.0;0;;;;0.00;RUB
